Timestamp,Set Power,Current,Battery Voltage,Running,Ticks,Velocity,PIDF
107.993,,2.398,11.794,true,457742.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.018,,2.336,11.838,true,457779.000,1380.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.039,,2.281,11.781,true,457806.000,1360.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.058,,2.533,11.641,true,457833.000,1360.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.076,,2.653,11.650,true,457859.000,1360.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.097,,2.737,11.772,true,457886.000,1360.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.117,,2.467,11.825,true,457914.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.135,,2.380,11.842,true,457938.000,1360.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.153,,2.303,11.833,true,457962.000,1360.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.171,,2.285,11.829,true,457986.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.189,,2.278,11.829,true,458011.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.207,,2.278,11.873,true,458035.000,1360.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.225,,2.208,11.886,true,458060.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.243,,2.157,11.877,true,458083.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.263,,2.154,11.729,true,458108.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.288,,2.416,11.720,true,458137.000,1320.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.307,,2.500,11.685,true,458169.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.327,,2.573,11.689,true,458196.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
108.347,,2.638,11.685,true,458222.000,1340.000,PIDFCoefficients(p=80.000000 i=40.000000 d=0.000000 f=0.000000 alg=PIDF)
