Timestamp,Set Power,Current,Battery Voltage,Running,Ticks,Velocity,PIDF
065.579,,7.286,11.698,true,49629.000,660.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.603,,7.257,11.685,true,49644.000,660.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.627,,7.111,11.667,true,49663.000,680.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.652,,7.078,11.702,true,49680.000,700.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.673,,7.012,11.715,true,49696.000,720.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.695,,6.980,11.768,true,49713.000,760.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.720,,6.874,11.737,true,49731.000,760.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.746,,6.823,11.755,true,49751.000,780.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.767,,6.728,11.807,true,49771.000,800.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.786,,6.673,11.803,true,49787.000,820.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.805,,6.619,11.812,true,49804.000,840.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.825,,6.615,11.816,true,49820.000,860.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.844,,6.564,11.838,true,49837.000,880.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.864,,6.502,11.864,true,49855.000,880.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.884,,6.429,11.833,true,49873.000,880.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.903,,6.415,11.860,true,49891.000,880.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.923,,6.360,11.890,true,49910.000,920.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.942,,6.283,11.882,true,49927.000,940.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.962,,6.273,11.912,true,49945.000,940.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
065.984,,6.222,11.895,true,49966.000,960.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.006,,6.178,11.903,true,49988.000,960.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.025,,6.090,11.908,true,50009.000,980.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.045,,6.047,11.934,true,50029.000,1000.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.066,,6.028,11.951,true,50049.000,1020.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.088,,5.977,11.930,true,50072.000,1040.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.109,,5.941,11.986,true,50095.000,1040.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.136,,5.879,11.969,true,50123.000,1040.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.161,,5.824,11.969,true,50150.000,1060.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.184,,5.799,11.986,true,50174.000,1060.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
066.208,,5.748,11.995,true,50202.000,1100.000,PIDFCoefficients(p=0.000000 i=3.000000 d=0.000000 f=0.000000 alg=PIDF)
