Timestamp,Set Power,Current,Running,Ticks,Velocity,Ball Shot
001.181,0.000,0.000,false,-327569.000,-0.000,false
001.196,0.000,0.000,false,-327569.000,-0.000,false
001.207,0.000,0.000,false,-327569.000,-0.000,false
001.217,0.000,0.000,false,-327569.000,-0.000,false
001.228,0.000,0.000,false,-327569.000,-0.000,false
001.240,0.000,0.000,false,-327569.000,-0.000,false
001.250,0.000,0.000,false,-327569.000,-0.000,false
001.260,0.000,0.000,false,-327569.000,-0.000,false
001.269,0.000,0.000,false,-327569.000,-0.000,false
001.278,0.000,0.000,false,-327569.000,-0.000,false
001.288,0.000,0.000,false,-327569.000,-0.000,false
001.298,0.000,0.000,false,-327569.000,-0.000,false
001.309,0.000,0.000,false,-327569.000,-0.000,false
001.319,0.000,0.000,false,-327569.000,-0.000,false
001.329,0.000,0.000,false,-327569.000,-0.000,false
001.339,0.000,0.000,false,-327569.000,-0.000,false
001.349,0.000,0.000,false,-327569.000,-0.000,false
001.359,0.000,0.000,false,-327569.000,-0.000,false
001.369,0.000,0.000,false,-327569.000,-0.000,false
001.379,0.000,0.000,false,-327569.000,-0.000,false
001.390,0.000,0.000,false,-327569.000,-0.000,false
001.399,0.000,0.003,false,-327569.000,-0.000,false
001.409,0.000,0.000,false,-327569.000,-0.000,false
001.419,0.000,0.000,false,-327569.000,-0.000,false
001.430,0.000,0.000,false,-327569.000,-0.000,false
001.442,0.000,0.000,false,-327569.000,-0.000,false
001.460,0.000,0.000,false,-327569.000,-0.000,false
001.470,0.000,0.000,false,-327569.000,-0.000,false
001.481,0.000,0.000,false,-327569.000,-0.000,false
001.493,0.000,0.000,false,-327569.000,-0.000,false
001.504,0.000,0.000,false,-327569.000,-0.000,false
001.515,0.000,0.000,false,-327569.000,-0.000,false
001.525,0.000,0.000,false,-327569.000,-0.000,false
001.536,0.000,0.000,false,-327569.000,-0.000,false
001.546,0.000,0.000,false,-327569.000,-0.000,false
001.558,0.000,0.000,false,-327569.000,-0.000,false
001.569,0.000,0.000,false,-327569.000,-0.000,false
001.579,0.000,0.000,false,-327569.000,-0.000,false
001.590,0.000,0.000,false,-327569.000,-0.000,false
001.600,0.000,0.000,false,-327569.000,-0.000,false
001.610,0.000,0.000,false,-327569.000,-0.000,false
001.620,0.000,0.000,false,-327569.000,-0.000,false
001.630,0.000,0.000,false,-327569.000,-0.000,false
001.640,0.000,0.000,false,-327569.000,-0.000,false
001.650,0.000,0.000,false,-327569.000,-0.000,false
001.661,0.000,0.000,false,-327569.000,-0.000,false
001.671,0.000,0.000,false,-327569.000,-0.000,false
001.688,0.000,0.000,false,-327569.000,-0.000,false
001.698,0.000,0.000,false,-327569.000,-0.000,false
001.708,0.000,0.000,false,-327569.000,-0.000,false
001.719,0.000,0.000,false,-327569.000,-0.000,false
001.729,0.000,0.000,false,-327569.000,-0.000,false
001.739,0.000,0.000,false,-327569.000,-0.000,false
001.750,0.000,0.000,false,-327569.000,-0.000,false
001.761,0.000,0.000,false,-327569.000,-0.000,false
001.772,0.000,0.000,false,-327569.000,-0.000,false
001.783,0.000,0.000,false,-327569.000,-0.000,false
001.796,0.000,0.000,false,-327569.000,-0.000,false
001.807,0.000,0.000,false,-327569.000,-0.000,false
001.818,0.000,0.000,false,-327569.000,-0.000,false
001.828,0.000,0.000,false,-327569.000,-0.000,false
001.839,0.000,0.000,false,-327569.000,-0.000,false
001.850,0.000,0.000,false,-327569.000,-0.000,false
001.861,0.000,0.000,false,-327569.000,-0.000,false
001.871,0.000,0.000,false,-327569.000,-0.000,false
001.880,0.000,0.000,false,-327569.000,-0.000,false
001.889,0.000,0.000,false,-327569.000,-0.000,false
001.899,0.000,0.000,false,-327569.000,-0.000,false
001.908,0.000,0.000,false,-327569.000,-0.000,false
001.918,0.000,0.000,false,-327569.000,-0.000,false
001.927,0.000,0.000,false,-327569.000,-0.000,false
001.936,0.000,0.000,false,-327569.000,-0.000,false
001.946,0.000,0.003,false,-327569.000,-0.000,false
001.955,0.000,0.000,false,-327569.000,-0.000,false
001.965,0.000,0.000,false,-327569.000,-0.000,false
001.974,0.000,0.000,false,-327569.000,-0.000,false
001.985,0.000,0.000,false,-327569.000,-0.000,false
001.996,0.000,0.000,false,-327569.000,-0.000,false
002.008,0.000,0.000,false,-327569.000,-0.000,false
002.021,0.000,0.000,false,-327569.000,-0.000,false
002.033,0.000,0.000,false,-327569.000,-0.000,false
002.043,0.000,0.000,false,-327569.000,-0.000,false
002.053,-0.100,0.000,false,-327569.000,-0.000,false
002.062,-0.100,0.000,false,-327569.000,-0.000,false
002.072,-0.100,0.000,false,-327569.000,-0.000,false
002.082,-0.100,0.000,false,-327569.000,-0.000,false
002.091,-0.100,0.000,false,-327569.000,-0.000,false
002.101,-0.100,0.000,false,-327569.000,-0.000,false
002.110,-0.100,0.000,false,-327569.000,-0.000,false
002.120,-0.100,0.000,false,-327569.000,-0.000,false
002.129,-0.100,0.000,false,-327569.000,-0.000,false
002.139,-0.100,0.000,false,-327569.000,-0.000,false
002.149,-0.100,0.000,false,-327569.000,-0.000,false
002.158,-0.100,0.000,false,-327569.000,-0.000,false
002.167,-0.100,0.000,false,-327569.000,-0.000,false
002.176,-0.100,0.000,false,-327569.000,-0.000,false
002.190,-0.100,0.000,false,-327569.000,-0.000,false
002.199,-0.100,0.000,false,-327569.000,-0.000,false
002.208,-0.100,0.000,false,-327569.000,-0.000,false
002.218,-0.100,0.000,false,-327569.000,-0.000,false
002.228,-0.100,0.000,false,-327569.000,-0.000,false
002.238,-0.100,0.000,false,-327569.000,-0.000,false
002.249,-0.200,0.000,false,-327569.000,-0.000,false
002.260,-0.200,0.000,false,-327569.000,-0.000,false
002.271,-0.200,0.000,false,-327569.000,-0.000,false
002.282,-0.200,0.000,false,-327569.000,-0.000,false
002.291,-0.200,0.000,false,-327569.000,-0.000,false
002.299,-0.200,0.000,false,-327569.000,-0.000,false
002.308,-0.200,0.000,false,-327569.000,-0.000,false
002.317,-0.200,0.000,false,-327569.000,-0.000,false
002.326,-0.200,0.000,false,-327569.000,-0.000,false
002.335,-0.200,0.000,false,-327569.000,-0.000,false
002.344,-0.200,0.000,false,-327569.000,-0.000,false
002.355,-0.200,0.000,false,-327569.000,-0.000,false
002.365,-0.200,0.000,false,-327569.000,-0.000,false
002.376,-0.200,0.000,false,-327569.000,-0.000,false
002.386,-0.200,0.000,false,-327569.000,-0.000,false
002.400,-0.200,0.000,false,-327569.000,-0.000,false
002.411,-0.200,0.000,false,-327569.000,-0.000,false
002.422,-0.200,0.000,false,-327569.000,-0.000,false
002.435,-0.200,0.000,false,-327569.000,-0.000,false
002.446,-0.200,0.000,false,-327569.000,-0.000,false
002.457,-0.200,0.000,false,-327569.000,-0.000,false
002.467,-0.200,0.000,false,-327569.000,-0.000,false
002.480,-0.200,0.000,false,-327569.000,-0.000,false
002.492,-0.200,0.000,false,-327569.000,-0.000,false
002.503,-0.200,0.000,false,-327569.000,-0.000,false
002.515,-0.200,0.000,false,-327569.000,-0.000,false
002.525,-0.200,0.000,false,-327569.000,-0.000,false
